geneName	family
FBgn0004828	1
FBgn0053803	1
FBgn0053809	1
FBgn0053818	1
FBgn0053821	1
FBgn0053827	1
FBgn0053833	1
FBgn0053842	1
FBgn0053845	1
FBgn0053851	1
FBgn0053854	1
FBgn0053857	1
FBgn0053863	1
FBgn0053866	1
FBgn0014857	1
FBgn0053815	1
FBgn0053839	1
FBgn0053848	1
FBgn0051613	1
FBgn0053806	1
FBgn0053824	1
FBgn0053836	1
FBgn0053860	1
FBgn0053830	1
FBgn0053812	1
FBgn0013981	2
FBgn0051611	2
FBgn0053869	2
FBgn0053873	2
FBgn0053877	2
FBgn0053879	2
FBgn0053883	2
FBgn0053885	2
FBgn0053887	2
FBgn0053889	2
FBgn0053893	2
FBgn0053897	2
FBgn0053899	2
FBgn0053907	2
FBgn0053909	2
FBgn0053871	2
FBgn0053875	2
FBgn0053891	2
FBgn0053905	2
FBgn0053881	2
FBgn0053901	2
FBgn0053903	2
FBgn0053895	2
FBgn0053868	3
FBgn0053870	3
FBgn0053872	3
FBgn0053878	3
FBgn0053880	3
FBgn0053882	3
FBgn0053886	3
FBgn0053892	3
FBgn0053894	3
FBgn0053896	3
FBgn0053900	3
FBgn0053906	3
FBgn0053908	3
FBgn0053910	3
FBgn0061209	3
FBgn0053874	3
FBgn0053884	3
FBgn0053888	3
FBgn0053898	3
FBgn0053904	3
FBgn0053876	3
FBgn0053902	3
FBgn0053890	3
FBgn0001197	4
FBgn0051618	4
FBgn0053808	4
FBgn0053814	4
FBgn0053817	4
FBgn0053820	4
FBgn0053823	4
FBgn0053826	4
FBgn0053829	4
FBgn0053832	4
FBgn0053835	4
FBgn0053838	4
FBgn0053841	4
FBgn0053844	4
FBgn0053847	4
FBgn0053850	4
FBgn0053853	4
FBgn0053856	4
FBgn0053859	4
FBgn0053862	4
FBgn0053865	4
FBgn0034518	5
FBgn0034507	5
FBgn0043470	5
FBgn0259998	5
FBgn0010425	5
FBgn0011555	5
FBgn0051681	5
FBgn0003863	5
FBgn0015001	5
FBgn0019928	5
FBgn0010357	5
FBgn0040341	5
FBgn0010358	5
FBgn0050031	5
FBgn0010359	5
FBgn0050025	5
FBgn0033640	6
FBgn0053773	6
FBgn0053483	6
FBgn0053923	6
FBgn0053798	6
FBgn0053920	6
FBgn0053928	6
FBgn0035068	6
FBgn0053654	6
FBgn0053721	6
FBgn0053777	6
